paper_id,abstract
2501.00001,"In this paper, a mathematical model is developed to describe the evolution of the concentration of compounds through a gas chromatography column. The model couples mass balances and kinetic equations for all components. Both single and multiple-component cases are considered with constant or variable velocity. Non-dimensionalisation indicates the small effect of diffusion. The system where diffusion is neglected is analysed using Laplace transforms. In the multiple-component case, it is demonstrated that the competition between the compounds is negligible and the equations may be decoupled. This reduces the problem to solving a single integral equation to determine the concentration profile for all components (since they are scaled versions of each other). For a given analyte, we then only two parameters need to be fitted to the data. To verify this approach, the full governing equations are also solved numerically using the finite difference method and a global adaptive quadrature method to integrate the Laplace transformation. Comparison with the Laplace solution verifies the high degree of accuracy of the simpler Laplace form. The Laplace solution is then verified against experimental data from BTEX chromatography. This novel method, which involves solving a single equation and fitting parameters in pairs for individual components, is highly efficient. It is significantly faster and simpler than the full numerical solution and avoids the computationally expensive methods that would normally be used to fit all curves at the same time."
2501.00258,"In optimizing real-world structures, due to fabrication or budgetary restraints, the design variables may be restricted to a set of standard engineering choices. Such variables, commonly called categorical variables, are discrete and unordered in essence, precluding the utilization of gradient-based optimizers for the problems containing them. In this paper, incorporating the Gumbel-Softmax (GSM) method, we propose a new gradient-based optimizer for handling such variables in the optimal design of large-scale frame structures. The GSM method provides a means to draw differentiable samples from categorical distributions, thereby enabling sensitivity analysis for the variables generated from such distributions. The sensitivity information can greatly reduce the computational cost of traversing high-dimensional and discrete design spaces in comparison to employing gradient-free optimization methods. In addition, since the developed optimizer is gradient-based, it can naturally handle the simultaneous optimization of categorical and continuous design variables. Through three numerical case studies, different aspects of the proposed optimizer are studied and its advantages over population-based optimizers, specifically a genetic algorithm, are demonstrated."
2501.00267,"Heretofore, the Serret-Frenet frame has been the ubiquitous choice for analyzing the elastic deformations of beam elements. It is well known that this frame is undefined at the inflection points and straight segments of the beam where its curvature is zero, leading to singularities and errors in their numerical analysis. On the other hand, there exists a lesser-known frame called Bishop which does not have the caveats of the Serret-Frenet frame and is well-defined everywhere along the beam centerline. Leveraging the Bishop frame, in this paper, we propose a new spatial, singularity-free low-order beam element based on the absolute nodal coordinate formulation for both small and large deformation applications. This element, named ANCF14, has a constant mass matrix and can capture longitudinal, transverse (bending) and torsional deformations. It is a two-noded element with 7 degrees of freedom per node, which are global nodal coordinates, nodal slopes and their cross-sectional rotation about the centerline. The newly developed element is tested through four complex benchmarks. Comparing the ANCF14 results with theoretical and numerical results provided in other studies confirms the efficiency and accuracy of the proposed element."
2501.0031,"How to accurately quantify the uncertainty of stochastic dynamical responses affected by uncertain loads and structural parameters is an important issue in structural safety and reliability analysis. In this paper, the conditional uncertainty quantification analysis for the dynamical response of stochastic structures considering the measurement data with random error is studied in depth. A method for extracting the key measurement condition, which holds the most reference value for the uncertainty quantification of response, from the measurement data is proposed. Considering the key measurement condition and employing the principle of probability conservation and conditional probability theory, the quotient-form expressions for the conditional mean, conditional variance, and conditional probability density function of the stochastic structural dynamical response are derived and are referred to as the key conditional quotients (KCQ). A numerical method combining the non-equal weighted generalized Monte Carlo method, Dirac function smoothing technique, and online-offline coupled computational strategy is developed for calculating KCQs. Three linear/nonlinear stochastic dynamical examples are used to verify that the proposed KCQ method can efficiently and accurately quantify the uncertainty of the structural response considering measurement conditions. The examples also compare the traditional non-conditional uncertainty quantification results with the conditional uncertainty quantification results given by KCQs, indicating that considering measurement conditions can significantly reduce the uncertainty of the stochastic dynamical responses, providing a more refined statistical basis for structural safety and reliability analysis."
2501.00611,"This work proposes a gradient-based method to design bone implants using triply-periodic minimal surfaces (TPMS) of spatially varying thickness to maximize bone in-growth. Bone growth into the implant is estimated using a finite element based mechanobiological model considering the magnitude and frequency of in vivo loads, as well as the density distribution of the surrounding bone. The wall thicknesses of the implant unit cells are determined via linear interpolation of the thicknesses over a user defined grid of control points, avoiding mesh dependency and providing control over the sensitivity computation costs. The TPMS structure is modeled as a homogenized material to reduce computational cost. Local properties of the implant are determined at run-time on an element-by-element basis using a pre-constructed surrogate model of the TPMS's physical and geometric properties as a function of the local wall thickness and the density of in-grown bone. Design sensitivities of the bone growth within the implant are computed using the direct sensitivity method. The methodology is demonstrated on a cementless hip, optimizing the implant for bone growth subject to wall thickness constraints to ensure manufacturability and allow cell infiltration."
2501.01859,"The modeling of deposition rates in Thermal Laser Epitaxy (TLE) is essential for the accurate prediction of the evaporation process and for improved dynamic process control. We demonstrate excellent agreement between experimental data and a model based on a finite element simulation that describes the temperature distribution of an elemental source when irradiated with continuous wave laser radiation. The simulation strongly depends on the thermophysical constants of the material, data of which is lacking for many elements. Effective values for the parameters may be determined with precision by means of an unambiguous reference provided by the melting point of the material, which is directly observed during the experiments. TLE may therefore be used to study the high temperature thermophysical and optical properties of the elements."
2501.02077,"This paper presents a computationally efficient method for the optimal design of silica aerogel porous material systems, balancing thermal insulation performance with mechanical stability under stress concentrations. The proposed approach explicitly accounts for additive manufacturing uncertainties by modeling material porosity as a spatially correlated stochastic field within a multiphase finite element formulation. A risk-averse objective function, incorporating statistical moments of the design objective, is employed in conjunction with chance constraints that enforce mechanical stability by restricting the probability of exceeding critical stress thresholds. To mitigate the prohibitively high computational cost associated with the large-dimensional uncertainty space and Monte Carlo estimations of the objective function's statistical moments, a second-order Taylor expansion is utilized as a control variate. Furthermore, a continuation-based smoothing strategy is introduced to address the non-differentiability of the chance constraints, ensuring compatibility with gradient-based optimization. The resulting framework achieves computational scalability, remaining agnostic to the dimensionality of the stochastic design space. The effectiveness of the method is demonstrated through numerical experiments on two- and three-dimensional thermal break systems for building insulation. The results highlight the framework's capability to solve large-scale, chance-constrained optimal design problems governed by finite element models with uncertain design parameter spaces reaching dimensions in the hundreds of thousands."
2501.0267,"We apply physics-augmented neural network (PANN) constitutive models to experimental uniaxial tensile data of rubber-like materials whose behavior depends on manufacturing parameters. For this, we conduct experimental investigations on a 3D printed digital material at different mix ratios and consider several datasets from literature, including Ecoflex at different Shore hardness and a photocured 3D printing material at different grayscale values. We introduce a parametrized hyperelastic PANN model which can represent material behavior at different manufacturing parameters. The proposed model fulfills common mechanical conditions of hyperelasticity. In addition, the hyperelastic potential of the proposed model is monotonic in isotropic isochoric strain invariants of the right Cauchy-Green tensor. In incompressible hyperelasticity, this is a relaxed version of the ellipticity (or rank-one convexity) condition. Using this relaxed ellipticity condition, the PANN model has enough flexibility to be applicable to a wide range of materials while having enough structure for a stable extrapolation outside the calibration data. The monotonic PANN yields excellent results for all materials studied and can represent a wide range of largely varying qualitative and quantitative stress behavior. Although calibrated on uniaxial tensile data only, it leads to a stable numerical behavior of 3D finite element simulations. The findings of our work suggest that monotonicity could play a key role in the formulation of very general yet robust and stable constitutive models applicable to materials with highly nonlinear and parametrized behavior."
2501.0276,"Link prediction in heterogeneous networks is crucial for understanding the intricacies of network structures and forecasting their future developments. Traditional methodologies often face significant obstacles, including over-smoothing-wherein the excessive aggregation of node features leads to the loss of critical structural details-and a dependency on human-defined meta-paths, which necessitate extensive domain knowledge and can be inherently restrictive. These limitations hinder the effective prediction and analysis of complex heterogeneous networks. In response to these challenges, we propose the Contrastive Heterogeneous grAph Transformer (CHAT). CHAT introduces a novel sampling-based graph transformer technique that selectively retains nodes of interest, thereby obviating the need for predefined meta-paths. The method employs an innovative connection-aware transformer to encode node sequences and their interconnections with high fidelity, guided by a dual-faceted loss function specifically designed for heterogeneous network link prediction. Additionally, CHAT incorporates an ensemble link predictor that synthesizes multiple samplings to achieve enhanced prediction accuracy. We conducted comprehensive evaluations of CHAT using three distinct drug-target interaction (DTI) datasets. The empirical results underscore CHAT's superior performance, outperforming both general-task approaches and models specialized in DTI prediction. These findings substantiate the efficacy of CHAT in addressing the complex problem of link prediction in heterogeneous networks."
2501.02941,"Free surface and granular fluid mechanics problems combine the challenges of fluid dynamics with aspects of granular behaviour. This type of problem is particularly relevant in contexts such as the flow of sediments in rivers, the movement of granular soils in reservoirs, or the interactions between a fluid and granular materials in industrial processes such as silos. The numerical simulation of these phenomena is challenging because the solution depends not only on the multiple phases that strongly interact with each other, but also on the need to describe the geometric evolution of the different interfaces. This paper presents an approach to the simulation of fluid-granular phenomena involving strongly deforming free surfaces. The Discrete Element Method (DEM) is combined with the Particle Finite Element Method (PFEM) and the fluid-grain interface is treated by a two-way coupling between the two phases. The fluid-air interface is solved by a free surface model. The geometric and topological variations are therefore naturally provided by the full Lagrangian description of all phases. The approach is validated on benchmark test cases such as two-phase dam failures and then applied to a real landslide problem."
2501.03068,"We introduce the Stress-Guided Lightweight Design Benchmark (SGLDBench), a comprehensive benchmark suite for applying and evaluating material layout strategies to generate stiff, lightweight designs in 3D domains. SGLDBench provides a seamlessly integrated simulation and analysis framework, including six reference strategies and a scalable multigrid elasticity solver to efficiently execute these strategies and validate the stiffness of their results. This facilitates the systematic analysis and comparison of design strategies based on the mechanical properties they achieve. SGLDBench enables the evaluation of diverse load conditions and, through the tight integration of the solver, supports high-resolution designs and stiffness analysis. Additionally, SGLDBench emphasizes visual analysis to explore the relationship between the geometric structure of a design and the distribution of stresses, offering insights into the specific properties and behaviors of different design strategies. SGLDBench's specific features are highlighted through several experiments, comparing the results of reference strategies with respect to geometric and mechanical properties."
2501.0316,"Anisotropic X-ray Dark-Field Tomography (AXDT) is a novel imaging technology that enables the extraction of fiber structures on the micrometer scale, far smaller than standard X-ray Computed Tomography (CT) setups. Directional and structural information is relevant in medical diagnostics and material testing. Compared to existing solutions, AXDT could prove a viable alternative. Reconstruction methods in AXDT have so far been driven by practicality. Improved methods could make AXDT more accessible. We contribute numerically stable implementations and validation of advanced statistical reconstruction methods that incorporate the statistical noise behavior of the imaging system. We further provide a new statistical reconstruction formulation that retains the advanced noise assumptions of the imaging setup while being efficient and easy to optimize. Finally, we provide a detailed analysis of the optimization behavior for all models regarding AXDT. Our experiments show that statistical reconstruction outperforms the previously used model, and particularly the noise performance is superior. While the previously proposed statistical method is effective, it is computationally expensive, and our newly proposed formulation proves highly efficient with identical performance. Our theoretical analysis opens the possibility to new and more advanced reconstruction algorithms, which in turn enable future research in AXDT."
