paper_id,abstract
2501.00991,"We investigate the structure of graphs of twin-width at most $1$, and obtain the following results:- Graphs of twin-width at most $1$ are permutation graphs. In particular they have an intersection model and a linear structure.- There is always a $1$-contraction sequence closely following a given permutation diagram.- Based on a recursive decomposition theorem, we obtain a simple algorithm running in linear time that produces a $1$-contraction sequence of a graph, or guarantees that it has twin-width more than $1$.- We characterise distance-hereditary graphs based on their twin-width and deduce a linear time algorithm to compute optimal sequences on this class of graphs."
2501.03175,"This article examines the impact of Hamiltonian dynamics on the interaction graph of Boolean networks. Three types of dynamics are considered: maximum height, Hamiltonian cycle, and an intermediate dynamic between these two. The study addresses how these dynamics influence the connectivity of the graph and the existence of variables that depend on all other variables in the system. Additionally, a family of unate Boolean networks capable of describing these three Hamiltonian behaviors is introduced, highlighting their specific properties and limitations. The results provide theoretical tools for modeling complex systems and contribute to the understanding of dynamic interactions in Boolean networks."
2501.04555,"Let $G$ be a weighted graph embedded in a metric space $(M, d_M )$. The vertices of $G$ correspond to the points in $M$ , with the weight of each edge $uv$ being the distance $d_M (u, v)$ between their respective points in $M$ . The dilation (or stretch) of $G$ is defined as the minimum factor $t$ such that, for any pair of vertices $u, v$, the distance between $u$ and $v$-represented by the weight of a shortest $u$, $v$-path is at most $ t \cdot d_M (u, v)$. We study Dilation t-Augmentation, where the objective is, given a metric $M $, a graph $G$, and numerical values $k$ and $t$, to determine whether $G$ can be transformed into a graph with dilation $t$ by adding at most $k$ edges.Our primary focus is on the scenario where the metric $M$ is the shortest path metric of an unweighted graph $\Gamma$. Even in this specific case, Dilation $t$-Augmentation remains computationally challenging. In particular, the problem is W[2]-hard parameterized by $k$ when $\Gamma$ is a complete graph, already for $t=2$. Our main contribution lies in providing new insights into the impact of combinations of various parameters on the computational complexity of the problem. We establish the following.-- The parameterized dichotomy of the problem with respect to dilation $t$, when the graph $G$ is sparse: Parameterized by $k$, the problem is FPT for graphs excluding a biclique $K_{d,d}$ as a subgraph for $t\leq 2$ and the problem is W[1]-hard for $t\geq 3$ even if $G$ is a forest consisting of disjoint stars.-- The problem is FPT parameterized by the combined parameter $k+t+\Delta$, where $\Delta$ is the maximum degree of the graph $G$ or $\Gamma$."
2501.04647,"This paper addresses a charging-station company (Chargco) for electric and hydrogen vehicles. The optimal trading of the Chargco in day-ahead and intraday auction markets for electricity is modeled as a stochastic Mixed-Integer Quadratic Program (MIQP). We propose a series of linearization and reformulation techniques to reformulate the stochastic MIQP as a mixed-integer linear program (MILP). To model stochasticity, we utilize generative adversarial networks to cluster electricity market price scenarios. Additionally, a combination of random forests and linear regression is employed to model the relationship between Chargco electricity and hydrogen loads and their selling prices. Finally, we propose an Improved L-Shaped Decomposition (ILSD) algorithm to solve our stochastic MILP. Our ILSD algorithm not only addresses infeasibilities through an innovative approach but also incorporates warm starts, valid inequalities and multiple generation cuts, thereby reducing computational complexity. Numerical experiments illustrate the Chargco trading using our proposed stochastic MILP and its solution algorithm."
2501.08698,"The \emph{coloring number} $\mathrm{col}(G)$ of a graph $G$, which is equal to the \emph{degeneracy} of $G$ plus one, provides a very useful measure for the uniform sparsity of $G$. The coloring number is generalized by three series of measures, the \emph{generalized coloring numbers}. These are the \emph{$r$-admissibility} $\mathrm{adm}_r(G)$, the \emph{strong $r$-coloring number} $\mathrm{col}_r(G)$ and the \emph{weak $r$-coloring number} $\mathrm{wcol}_r(G)$, where $r$ is an integer parameter. The generalized coloring numbers measure the edge density of bounded-depth minors and thereby provide an even more uniform measure of sparsity of graphs. They have found many applications in graph theory and in particular play a key role in the theory of bounded expansion and nowhere dense graph classes introduced by Nešetřil and Ossona de Mendez. We overview combinatorial and algorithmic applications of the generalized coloring numbers, emphasizing new developments in this area. We also present a simple proof for the existence of uniform orders and improve known bounds, e.g., for the weak coloring numbers on graphs with excluded topological minors."
2501.08895,"The \emph{$r$-neighbourhood complexity} of a graph $G$ is the function counting, for a given integer $k$, the largest possible number, over all vertex-subsets $A$ of size $k$, of subsets of $A$ realized as the intersection between the $r$-neighbourhood of some vertex and $A$. A~refinement of this notion is the \emph{$r$-profile complexity}, that counts the maximum number of distinct distance-vectors from any vertex to the vertices of $A$, ignoring distances larger than~$r$. Typically, in structured graph classes such as graphs of bounded VC-dimension or chordal graphs, these functions are bounded, leading to insights into their structural properties and efficient algorithms.We improve existing bounds on the $r$-profile complexity (and thus on the $r$-neighbourhood complexity) for graphs in several structured graph classes. We show that the $r$-profile complexity of graphs excluding $K_h$ as a minor is in $O_h(r^{3h-3}k)$. For graphs of treewidth at most~$t$, we give a bound in $O_t(r^{t+1}k)$, which is tight up to a function of~$t$ as a factor. These bounds improve results of Joret and Rambaud and answer a question of their paper [Combinatorica, 2024]. We also apply our methods to other classes of bounded expansion such as graphs excluding a fixed complete graph as a subdivision.For outerplanar graphs, we can improve our treewidth bound by a factor of $r$ and conjecture that a similar improvement holds for graphs with bounded simple treewidth. For graphs of treelength at most~$\ell$, we give the upper bound of $O(k(r^2(\ell+1)^k))$, which we improve to $O\left (k\cdot (r 2^k + r^2k^2) \right)$ in the case of chordal graphs and $O(k^2r)$ for interval graphs.Our bounds also imply relations between the order, diameter and metric dimension of graphs in these classes, improving results from [Beaudou et al., SIDMA 2017]."
2501.08929,"Limited English Proficiency (LEP) patients face higher risks of adverse health outcomes due to communication barriers, making timely medical interpreting services essential for mitigating those risks. This paper addresses the scheduling of medical interpreting services under uncertainty. The problem is formulated as a two-stage stochastic programming model that accounts for uncertainties in emergency patients' arrival and service time. The model handles the hiring decisions of part-time interpreters and the assignment of full-time and hired part-time interpreters. The objective is to minimize the total cost, which encompasses full-time interpreters' overtime cost, the fixed and variable costs of part-time interpreters, and the penalty cost for not serving LEP patients on time. The model is solved using the Sample Average Approximation (SAA) algorithm. To overcome the computational burden of the SAA algorithm, a Tabu Search (TS) algorithm was used to solve the model. A real-life case study is used to validate and evaluate the proposed solution algorithms. The results demonstrate the effectiveness of the proposed stochastic programming-based solutions in concurrently reducing both the total cost and the waiting time. Further, sensitivity analysis reveals how the increase in some key parameters, such as the arrival rate of emergency patients with LEP, impacts scheduling outcomes."
2501.09256,"K-geodetic graphs (K capital) are defined as graphs in which each pair of nonadjacent vertices has at most K paths of minimum length between them. A K-geodetic graph is geodetic if K=1, bigeodetic if K=2 and trigeodetic if K=3. K-geodetic graphs are applied effectively to the solution of several practical problems in distinct areas of computer science, hence the importance of their study. Four problems are central to the study of K-geodetic graphs, namely, characterization, construction, enumeration and classification. The problems of finding the general classification of K-geodetic graphs for each of their classes K=1,2,3 are open. The present paper is a survey dedicated to the construction of K-geodetic graphs for K=1,2,3 using balanced incomplete block designs (BIBDs). To this purpose, we use block designs as combinatorial structures defined in terms of completely predetermined parameters, which is essential for the easy construction of the K-geodetic graphs described in this survey."
2501.0956,"The Minimum Path Cover (MPC) problem consists of finding a minimum-cardinality set of node-disjoint paths that cover all nodes in a given graph. We explore a variant of the MPC problem on acyclic digraphs (DAGs) where, given a subset of arcs, each path within the MPC should contain at least one arc from this subset. We prove that the feasibility problem is strongly NP-hard on arbitrary DAGs, but the problem can be solved in polynomial time when the DAG is the transitive closure of a path.Given that the problem may not always be feasible, our solution focuses on covering a maximum number of nodes with a minimum number of node-disjoint paths, such that each path includes at least one arc from the predefined subset of arcs. This paper introduces and investigates two integer programming formulations for this problem. We propose several valid inequalities to enhance the linear programming relaxations, employing them as cutting planes in a branch-and-cut approach. The procedure is implemented and tested on a wide range of instances, including real-world instances derived from an airline crew scheduling problem, demonstrating the effectiveness of the proposed approach."
2501.10154,"We study the complexity of the Virtual Network Embedding Problem (VNE), which is the combinatorial core of several telecommunication problems related to the implementation of virtualization technologies, such as Network Slicing. VNE is to find an optimal assignment of virtual demands to physical resources, encompassing simultaneous placement and routing decisions. The problem is known to be strongly NP-hard, even when the virtual network is a uniform path, but is polynomial in some practical cases. This article aims to draw a cohesive frontier between easy and hard instances for VNE. For this purpose, we consider uniform demands to focus on structural aspects, rather than packing ones. To this end, specific topologies are studied for both virtual and physical networks that arise in practice, such as trees, cycles, wheels and cliques. Some polynomial greedy or dynamic programming algorithms are proposed, when the physical network is a tree or a cycle, whereas other close cases are shown NP-hard."
