paper_id,abstract
2501.00451,"We demonstrate that techniques of Weihrauch complexity can be used to get easy and elegant proofs of known and new results on initial value problems. Our main result is that solving continuous initial value problems is Weihrauch equivalent to weak Kőnig's lemma, even if only solutions with maximal domains of existence are considered. This result simultaneously generalizes negative and positive results by Aberth and by Collins and Graça, respectively. It can also be seen as a uniform version of a Theorem of Simpson. Beyond known techniques we exploit for the proof that weak Kőnig's lemma is closed under infinite loops. One corollary of our main result is that solutions with maximal domain of existence of continuous initial value problems can be computed non-deterministically, and for computable instances there are always solutions that are low as points in the function space. Another corollary is that in the case that there is a fixed finite number of solutions, these solutions are all computable for computable instances and they can be found uniformly in a finite mind-change computation."
2501.00481,"The method Kürbis used to formalise definite descriptions with a binary quantifier I, such that I$x[F,G]$ indicates `the F is G', is examined and improved upon in this work. Kürbis first looked at I in intuitionistic logic and its negative free form. It is well-known that intuitionistic reasoning approaches truth constructively. We also want to approach falsehood constructively, in Nelson's footsteps. Within the context of Nelson's paraconsistent logic N4 and its negative free variant, we examine I. We offer an embedding function from Nelson's (free) logic into intuitionistic (free) logic, as well as a natural deduction system for Nelson's (free) logic supplied with I and Kripke style semantics for it. Our method not only yields constructive falsehood, but also provides an alternate resolution to an issue pertaining to Russell's interpretation of definite descriptions. This comprehension might result in paradoxes. Free logic, which is often used to solve this issue, is insufficiently powerful to produce contradictions. Instead, we employ paraconsistent logic, which is made to function in the presence of contradicting data without devaluing the process of reasoning."
2501.00483,"Two Gentzen-style twist sequent calculi for the normal modal logic S4 are introduced and investigated. The proposed calculi, which do not employ the standard logical inference rules for the negation connective, are characterized by several twist logical inference rules for negated logical connectives. Using these calculi, short proofs can be generated for provable negated modal formulas that contain numerous negation connectives. The cut-elimination theorems for the calculi are proved, and the subformula properties for the calculi are also obtained. Additionally, Gentzen-style twist (hyper)sequent calculi for other normal modal logics including S5 are considered."
2501.00484,"Quantum logic (QL) is a non-classical logic for analyzing the propositions of quantum physics. Modal logic MB, which is a logic that handles the value of the inner product that appears in quantum mechanics, was constructed with the development of QL. Although the basic properties of this logic have already been analyzed in a previous study, some essential parts still need to be completed. They are concerned with the completeness theorem and the decidability of the validity problem of this logic. This study solves those problems by constructing a nested-sequent calculus for MB. In addition, new logic MB+ with the addition of new modal symbols is discussed."
2501.00485,"Formal reasoning with non-denoting terms, esp. non-referring descriptions such as ""the King of France"", is still an under-investigated area. The recent exception being a series of papers e.g. by Indrzejczak, Zawidzki and Krbis. The present paper offers an alternative to their approach since instead of free logic and sequent calculus, it's framed in partial type theory with natural deduction in sequent style. Using a Montague- and Tichý-style formalization of  natural language, the paper successfully handles deduction with intensional transitives whose complements are non-referring descriptions, and derives Strawsonian rules for existential presuppositions of sentences with such descriptions."
2501.00486,"In this paper, we prove the semantic incompleteness of the Hilbert-style system for the minimal normal term-modal logic with equality and non-rigid terms that was proposed in Liberman et al. (2020) ""Dynamic Term-modal Logics for First-order Epistemic Planning."" Term-modal logic is a family of first-order modal logics having term-modal operators indexed with terms in the first-order language. While some first-order formula is valid over the class of all frames in the Kripke semantics for the term-modal logic proposed there, it is not derivable in Liberman et al. (2020)'s Hilbert-style system. We show this fact by introducing a non-standard Kripke semantics which makes the meanings of constants and function symbols relative to the meanings of relation symbols combined with them."
2501.00487,"The cut-elimination procedure for the provability logic is known to be problematic: a Löb-like rule keeps cut-formulae intact on reduction, even in the principal case, thereby complicating the proof of termination. In this paper, we present a syntactic cut-elimination proof based on nested sequents, a generalization of sequents that allows a sequent to contain other sequents as single elements. A similar calculus was developed by Poggiolesi (2009), but there are certain ambiguities in the proof. Adopting the idea of Kushida (2020) into nested sequents, our proof does not require an extra measure on cuts or error-prone, intricate rewriting on derivations, but only straightforward inductions, thus leading to less ambiguity and confusion."
2501.00488,"According to Russell, strict uses of the definite article 'the' in a definite description 'the F' involve uniqueness; in case there is more than one F, 'the F' is used somewhat loosely, and an indefinite description 'an F' should be preferred. We give an account of constructions of the form 'the F is G' in which the definite article is used loosely (and in which 'the F' is, therefore, incomplete), essentially by replacing the usual notion of identity in Russell's uniqueness clause with the notion of qualified identity, i.e., 'a is the same as b in all Q-respects', where Q is a subset of the set of predicates P. This modification gives us qualified notions of uniqueness and definiteness. A qualified definiteness statement 'the Q-unique F is G' is strict in case Q = P and  loose in case Q is a proper subset of P. The account is made formally precise in terms of proof theory and proof-theoretic semantics."
2501.00489,"We combine the concepts of modal logics and many-valued logics in a general and comprehensive way. Namely, given any finite linearly ordered set of truth values and any set of propositional connectives defined by truth tables, we define the many-valued minimal normal modal logic, presented as a Gentzen-like sequent calculus, and prove its soundness and strong completeness with respect to many-valued Kripke models. The logic treats necessitation and possibility independently, i.e., they are not defined by each other, so that the duality between them is reflected in the proof system itself. We also prove the finite model property (that implies strong decidability) of this logic and consider some of its extensions. Moreover, we show that there is exactly one way to define negation such that De Morgan's duality between necessitation and possibility holds. In addition, we embed many-valued intuitionistic logic into one of the extensions of our many-valued modal logic."
2501.00492,"In this short paper we will discuss the similarities and differences between two semantic approaches to modal logics - non-deterministic semantics and restricted non-deterministic semantics. Generally speaking, both kinds of semantics are similar in the sense that they employ non-deterministic matrices as a starting point but differ significantly in the way extensions of the minimal modal logic M are constructed. Both kinds of semantics are many-valued and truth-values are typically expressed in terms of tuples of 0s and 1s, where each dimension of the tuple represents either truth/falsity, possibility/non-possibility, necessity/non-necessity etc.  And while non-deterministic semantics for modal logic offers an intuitive interpretation of the truth-values and the concept of modality, with restricted non-deterministic semantics are more general in terms of providing extensions of M, including normal ones, in an uniform way. On the example of three modal logics, MK, MKT and MKT4, we will show the differences and similarities of those two approaches. Additionally, we will briefly discuss (current) restrictions of both approaches."
